"Grad.Month","Grad.Year","My..Conn","Job.Title","Current.City","Current.State","Home.Country","Gender","Major1","Major2","Major3","Minor1","Minor2","Minor3","Certificate1","Certificate2","Certificate3"
"Dec",2016,0,NA,NA,NA,"UNITED STATES","Male","Business Analytics",NA,NA,NA,NA,NA,NA,NA,NA
"May",2016,0,NA,NA,NA,"UNITED STATES","Male","Information Systems","Accounting",NA,"Computer Science",NA,NA,NA,NA,NA
"May",2016,0,NA,NA,NA,"UNITED STATES","Female","Mathematics (Program C)","Business Analytics",NA,NA,NA,NA,NA,NA,NA
"May",2016,0,NA,NA,NA,"UNITED STATES","Male","Information Systems",NA,NA,NA,NA,NA,NA,NA,NA
"May",2016,0,NA,NA,NA,"UNITED STATES","Male","Business Analytics",NA,NA,NA,NA,NA,NA,NA,NA
"May",2016,0,NA,NA,NA,"CHINA","Female","Information Systems","Accounting","Finance",NA,NA,NA,NA,NA,NA
"May",2016,0,NA,NA,NA,"UNITED STATES","Male","Business Analytics",NA,NA,NA,NA,NA,NA,NA,NA
"May",2016,0,NA,NA,NA,"UNITED STATES","Male","Business Analytics",NA,NA,NA,NA,NA,NA,NA,NA
"May",2016,0,NA,NA,NA,"UNITED STATES","Male","Business Analytics","Economics (Business)",NA,NA,NA,NA,NA,NA,NA
"May",2016,0,NA,NA,NA,"CHINA","Male","Business Analytics","Statistics (Stats in Bus, Ind, Gov and Res)",NA,NA,NA,NA,NA,NA,NA
"Dec",2016,1,"Recruiting Specialist I, Human Resources","Des Moines","IA","UNITED STATES","Male","Information Systems","Management (Leadership and Management)",NA,NA,NA,NA,NA,NA,NA
"May",2016,1,"Data Analyst II","Kansas City","MO","UNITED STATES","Male","Business Analytics",NA,NA,NA,NA,NA,NA,NA,NA
"Dec",2016,1,"MS Business Analytics","Davis","CA","UNITED STATES","Female","Business Analytics","Finance",NA,NA,NA,NA,NA,NA,NA
"May",2016,1,"Video Product Analyst","Denver","CO","UNITED STATES","Male","Business Analytics","Marketing",NA,NA,NA,NA,NA,NA,NA
"May",2016,1,"Senior Associate Consultant","Des Moines","IA","UNITED STATES","Male","Business Analytics","Finance",NA,NA,NA,NA,NA,NA,NA
"May",2016,1,"Audit Senior","Chicago","IL","UNITED STATES","Female","Business Analytics","Accounting",NA,NA,NA,NA,NA,NA,NA
"Dec",2016,1,"Senior Business Intelligence Analyst","Kansas City","MO","UNITED STATES","Male","Business Analytics",NA,NA,NA,NA,NA,NA,NA,NA
"May",2016,1,"Marketing Coordinator, Data Analyst","Des Moines","IA","UNITED STATES","Female","Business Analytics","Marketing",NA,NA,NA,NA,NA,NA,NA
"Aug",2016,1,"Annuity Support Associate","Farmington","CT","UNITED STATES","Female","Business Analytics","Finance",NA,NA,NA,NA,"Risk Management and Insurance",NA,NA
"May",2016,1,"Intermediate Financial Analyst",NA,NA,"UNITED STATES","Female","Accounting","Business Analytics",NA,NA,NA,NA,NA,NA,NA
"Dec",2016,1,"Security Engineer","Chicago","IL","UNITED STATES","Male","Information Systems","Management (Leadership and Management)",NA,NA,NA,NA,NA,NA,NA
"May",2016,1,"Senior Associate, AI Lab","New York","NY","UNITED STATES","Male","Business Analytics",NA,NA,"Computer Science",NA,NA,NA,NA,NA
"May",2016,1,"Global Logistics Process Manager","Downers Grove","IL","UNITED STATES","Female","Business Analytics",NA,NA,NA,NA,NA,"Sustainability Program",NA,NA
"May",2016,1,"Health Informatics Analyst II","Baltimore","MD","UNITED STATES","Male","Business Analytics","Management (Leadership and Management)",NA,NA,NA,NA,NA,NA,NA
"May",2016,1,"Risk Assurance Associate","Minneapolis","MN","UNITED STATES","Male","Information Systems",NA,NA,"Computer Science",NA,NA,NA,NA,NA
"May",2016,1,"IT Controls Analyst","Cedar Rapids","IA","UNITED STATES","Female","Accounting","Information Systems",NA,NA,NA,NA,NA,NA,NA
"Dec",2016,1,"M.S. Supply Chain Management","Platteville","WI","UNITED STATES","Male","Information Systems",NA,NA,NA,NA,NA,NA,NA,NA
